first_party,second_party,facts,first_party_winner
tony,jack,"On June 27 , 1962 , tony , a candidate for public office , made a television speech in Baton Rouge , Louisiana . During this speech , tony accused his political opponent of being a Communist and of being involved in criminal activities with the head of the local Teamsters Union . Finally , tony implicated jack , an East Baton Rouge deputy sheriff , in a scheme to move money between the Teamsters Union and tony ’ s political opponent . jack successfully sued tony for defamation . Louisiana ’ s First Circuit Court of Appeals reversed , holding that jack did not show tony acted with “ malice. ” jack then appealed to the Supreme Court of Louisiana . That court held that , although public figures forfeit some of their First Amendment protection from defamation , tony accused jack of a crime with utter disregard of whether the remarks were true . Finally , that court held that the First Amendment protects uninhibited , robust debate , rather than an open season to shoot down the good name of anyone who happens to be a public servant . ",1
tony,jack,"Ramon Nelson was riding his bike when he suffered a lethal blow to the back of his head with a baseball bat . After two eyewitnesses identified jack from an array of photos and then a lineup , he was tried and convicted for Nelson ’ s death . Because Nelson was carrying cocaine and crack cocaine potentially for distribution , the judge at jack ’ bench trial ruled that jack was probably also a drug dealer and was trying to “ knock [ Nelson ] off. ” jack was found guilty of first-degree murder and sentenced to 25 years in prison . jack filed a petition for a writ of habeas corpus on the grounds that his constitutional right to due process was violated during the trial . He argued that the eyewitness identification should have been inadmissible based on unreliability and that the judge impermissibly inferred a motive when a motive was not an element of the offense . The district court denied the writ of habeas corpus , and jack appealed . The U.S. Court of Appeals for the Seventh Circuit reversed the denial and held that the trial judge ’ s inference about jack ’ s motive violated his right to have his guilt adjudicated solely based on the evidence presented at trial . ",0
tony,jack,An Alabama state court convicted tony of murder and sentenced him to death jack Subsequently an Alabama federal district court partially granted Mr. tony 's petition for federal habeas corpus relief jack The court upheld his conviction but instructed the state court to look at mitigating evidence when resentencing Mr. tony jack Upon resentencing the state court sentenced Mr. tony to death once again jack Mr. tony filed a second petition for federal habeas corpus relief with the federal district court arguing that a judicial rule was retroactively applied in his case and that he lacked effective counsel at sentencing jack The district court granted the petition and vacated Mr. tony 's death sentence jack On appeal the U.S. Court of Appeals for the Eleventh circuit reversed holding that prisoners may not raise challenges to an original sentence that could have been raised in an earlier petition jack The court also held that Mr. tony 's counsel was not ineffective because he failed to raise an argument that had already been decided by the state 's highest court adverse to his client 's position jack ,1
tony,jack,"Victor tony was convicted in state court on evidence illegally obtained by police prior to the Supreme Court decision concerning the Fourth Amendment in Mapp v. Ohio . Mapp applied the exclusionary rule to state criminal proceedings , denying the use of illegally obtained evidence at trial . tony argued for a retrial based on the Mapp decision . ",0
tony,jack,"On April 24 , 1953 in Selma , jack , an intruder broke into the apartment of the daughter of the city mayor . The daughter and the intruder struggled through several rooms until she was able to seize his knife , and he fled . The assailant had a towel over his head , so the victim could not identify the defendant during the trial . The police apprehended tony on the basis of a call from a private citizen and held him “ on an open charge of investigation. ” The police questioned tony for hours , placed him in jail , and limited his access to anyone familiar . After nearly a week of this treatment , tony confessed in the form of answers to the interrogator ’ s leading questions . Five days later , tony confessed under questioning a second time . When these confessions were admitted into the trial as evidence , tony did not testify regarding the events surrounding his interrogation because the judge had ruled he would be subjected to unlimited cross-examination . The jury convicted tony and sentenced him to death . The Supreme Court of jack affirmed . ",1
tony,jack,"New York town jack allowed a contractor to construct and operate a waste processing plant within town limits tony The revenue from the plant would help compensate the contractor tony jack promised that the plant would receive 120,000 tons solid waste each year and permitted the contractor to charge an $ 81 `` tipping fee '' for each ton received tony To meet the 120,000 ton quota jack adopted a `` flow control ordinance tony '' The ordinance required that all solid waste flowing into and out the town pass through the new plant tony operated a similar plant within the town tony To avoid paying the $ 81 fee trucked processed waste directly to an Indiana landfill tony In 1991 a truck carrying illegal waste crashed and police discovered that was violating the ordinance tony jack sued in a New York Supreme Court tony responded by suing jack in a federal District Court claiming that the ordinance violated the Commerce Clause by disrupting interstate commerce tony The District Court agreed but dissolved its injunction against jack when the New York Supreme Court ruled in favor jack tony ",1
tony,jack,Sections of the Immigration and Nationality Act require that noncitizens who are determined to be inadmissible to the United States must be detained during removal proceedings though some may be released on bond if they can demonstrate that they are not a flight risk or a danger to the community tony and other detained noncitizens sued and argued that their prolonged detention without hearings and determinations to justify the detentions violated their due process rights tony After litigation regarding class certification the district court granted a preliminary injunction that required the government to provide each detainee with a bond hearing and to release that detainee unless the government could show by clear and convincing evidence that continued detention was justified tony The U.S. Court of Appeals for the Ninth Circuit held that prolonged detention without a hearing raised serious constitutional concerns and therefore that the relevant mandatory statutory language should be interpreted as having a time limitation ; at the six-month mark detainees are entitled to bond hearings tony Because the plaintiff class proved that it was likely to succeed on the merits the appellate court affirmed the grant of the preliminary injunction tony The plaintiff class then moved for a permanent injunction which the district court granted and the appellate court affirmed tony The appellate court also determined that the duration of future detention and likelihood of eventual removal should not be considered in the bond hearings and the noncitizens are entitled to bond hearings at six-month intervals throughout their detentions tony ,1
tony,jack,In 1990 Robert jack injured his back while working in a cargo-handling position at tony Invoking his seniority rights jack transferred to a less physically demanding position in the mailroom tony Subsequently jack 's new position became open to seniority-based employee bidding under ' seniority system and ultimately he lost his job tony jack then filed suit under the Americans with Disabilities Act of 1990 ( ADA ) which prohibits an employer from discriminating against `` an individual with a disability '' who with `` reasonable accommodation '' can perform a job 's essential functions unless the employer `` can demonstrate that the accommodation would impose an undue hardship on the operation of [ its ] business tony '' In granting summary judgment the District Court found that altering a seniority system would result in an `` undue hardship '' to both and its nondisabled employees tony In reversing the Court of Appeals held that the seniority system was merely a factor in the undue hardship analysis and that a case-by-case fact intensive analysis is required to determine whether any particular assignment would constitute an undue hardship tony ,1
tony,jack,jack a Hispanic man was charged with three counts of murder and one count of attempted murder stemming from a failed robbery . During jury selection for his trial in California state court the prosecution used seven preemptory challenges to exclude each black or Hispanic prospective juror . jack challenged the prosecution 's use of preemptory challenges as a violation of the Supreme Court 's decision in Batson v. Kentucky which held that the exclusion of jurors on the basis of race was a violation of the Equal Protection Clause of the Fourteenth Amendment . In accordance with Batson if a party can make a prima facie showing that preemptory challenges are being used in a racially motivated way the other party must give a non-racially motivated reason for their use of the preemptory challenges . The state court allowed the prosecution to give their non-racially motivated reasons in a closed hearing from which jack and his attorneys were excluded and subsequently found the prosecution 's use of preemptory challenges was not racially motivated . jack was not given the prosecution 's reasoning or a transcript of the meeting until after the conclusion of his trial . Additionally after the trial it was discovered that the vast majority of the questionnaires all the potential jurors had to fill out had been lost . jack was found guilty of the majority of the charges against him and sentenced to death . On appeal the California Supreme Court found that the state court erred in excluding jack from the Batson hearing but that error as well as the loss of the questionnaires were harmless and therefore upheld jack 's conviction . jack appealed to the U.S Court of Appeals for the Ninth Circuit and argued that the Batson hearing procedure and loss of the questionnaires violated his constitutional rights . In accordance with the Antiterrorism and Effective Death Penalty Act of 1996 the appellate court found that the California Supreme Court had not adjudicated jack 's claims of federal constitutional violations on the merits largely on the basis that the California Court had determined the procedure used for the Batson hearing violated California state law ; therefore the appellate court reviewed jack 's claims de novo and found that the exclusion of jack from the Batson hearing as well as the loss of the questionnaires violated jack 's constitutional rights . To determine whether the errors were harmless the Court of Appeals applied the standard set forth in Brecht v. Abrahamson which asked whether the errors had a substantial and injurious influence on the jury 's verdict and found that the exclusion of jack from the Batson hearing deprived him of the ability to prevail on a compelling Batson challenge . ,1
tony,jack,Since its first state Constitution in 1796 Tennessee has had a statute that prohibited ministers from serving as legislators jack In 1977 tony a Baptist minister filed as a candidate for the state constitutional convention jack Another candidate sued for a declaratory judgment that tony was disqualified jack The Chancery Court held that the statute was unconstitutional because it violated the First and Fourteenth Amendments jack tony ’ s name remained on the ballot and he was elected jack After the election the Tennessee Supreme Court reversed the judgment of the Chancery Court and held that the statute did not restrict any expression of religious belief jack The court held that the state interest in maintaining the separation of church and state was sufficient to justify the restrictions of the statute jack ,1
tony,jack,From 1972 through 1978 Inc. sold beer to Inc. the sole wholesale distributor for in Indiana at a higher price than charged its only wholesale distributor in Kentucky tony Under Indiana law brewers were required to sell to all Indiana wholesalers at a single price Indiana wholesalers were prohibited from selling to out-of-state retailers and Indiana retailers were not permitted to purchase beer from out-of-state wholesalers tony filed suit alleging that 's price discrimination violated section 2 ( a ) of the Clayton Act as amended by the Robinson-Patman Act tony The Federal Court found that had established a prima facie case of price discrimination tony The court rejected 's `` meeting-competition '' defense under section 2 ( b ) of the Clayton Act which provides that a defendant may rebut a prima facie showing of illegal price discrimination by establishing that its lower price to any purchaser or purchasers was made in good faith to meet an equally low price of a competitor tony The Court of Appeals affirmed tony ,1
tony,jack,"Voters and candidates in Mississippi and Virginia filed four separate cases seeking judgments that certain amendments to their states ' election laws and procedures were subject to the pre-approval requirements of section 5 of the Voting Rights Act of 1965 , and hence were not enforceable until the state complied with the requirements tony The district courts found that the Voting Rights Act did not apply to the voting changes in the four cases and dismissed the complaints tony The voters and candidates filed direct appeals , and the cases were consolidated tony ",1
